id,title,sentence,ARG0,PRED,ARG1,MOD-TIME,TAG,,,,,,,,,,,TAG MATCH,ARG0 MATCH,PRED MATCH,ARG1 MATCH
7,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk perempuan,Jumlah populasi,"20,27%",Tahun 2005,CORRECT,,7,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk perempuan,Persentase penduduk perempuan,"20,27%",2005,CORRECT,,TRUE,TRUE,FALSE,TRUE
8,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk laki-laki,Jumlah populasi,974.427,Tahun 2005,CORRECT,,8,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk laki-laki,Jumlah populasi,974.427,2005,CORRECT,,TRUE,TRUE,TRUE,TRUE
8,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk laki-laki,Jumlah populasi,"49,73%",Tahun 2005,CORRECT,,8,Sulawesi Tenggara,"Struktur umur penduduk Sulawesi Tenggara pada tahun 2005, penduduk usia di bawah 15 tahun 700.433 jiwa (35,75%) dari total penduduk, sedangkan penduduk perempuan mencapai 984.987 jiwa (20.27%) dan penduduk laki-laki mencapai 974.427 jiwa (49,73%).",Penduduk laki-laki,Persentase penduduk laki-laki,"49,73%",2005,CORRECT,,TRUE,TRUE,FALSE,TRUE
9,Sulawesi Tenggara,"Hingga 2019, Badan Bahasa mencatat ada 14 bahasa daerah di Sulawesi Tenggara.",Sulawesi Tenggara,Jumlah bahasa,14,Hingga 2019,CORRECT,,9,Sulawesi Tenggara,"Hingga 2019, Badan Bahasa mencatat ada 14 bahasa daerah di Sulawesi Tenggara.",Sulawesi Tenggara,Jumlah bahasa,14,2019,CORRECT,,TRUE,TRUE,TRUE,TRUE
10,Sulawesi Tenggara,"Pada Pemilu Legislatif 2014 lalu, DPRD Sulawesi Tenggara berjumlah 45 orang dengan perwakilan delapan partai politik.",DPRD Sulawesi Tenggara,Jumlah anggota dewan,45,,CORRECT,,10,Sulawesi Tenggara,"Pada Pemilu Legislatif 2014 lalu, DPRD Sulawesi Tenggara berjumlah 45 orang dengan perwakilan delapan partai politik.",DPRD Sulawesi Tenggara,Jumlah anggota,45,,CORRECT,,TRUE,TRUE,FALSE,TRUE
11,Sulawesi Tenggara,"Pada Pemilu Legislatif 2014 lalu, DPRD Sulawesi Tenggara berjumlah 45 orang dengan perwakilan delapan partai politik.",partai politik,Jumlah Parpol,delapan,,CORRECT,,11,Sulawesi Tenggara,"Pada Pemilu Legislatif 2014 lalu, DPRD Sulawesi Tenggara berjumlah 45 orang dengan perwakilan delapan partai politik.",DPRD Sulawesi Tenggara,Jumlah partai politik,delapan,,CORRECT,,TRUE,FALSE,FALSE,TRUE
12,Sulawesi Tenggara,"Tahun 2011 ADHB/Atas dasar harga berlaku: Rp 32.113,1 miliar.",ADHB/Atas dasar harga berlaku,Harga,"Rp 32.113,1 miliar",Tahun 2011,CORRECT,,12,Sulawesi Tenggara,"Tahun 2011 ADHB/Atas dasar harga berlaku: Rp 32.113,1 miliar.",ADHB/Atas dasar harga berlaku,Harga,"Rp 32.113,1 miliar",2011,CORRECT,,TRUE,TRUE,TRUE,TRUE
13,Sulawesi Tenggara,"Berdasarkan data Badan Pusat Statistik pada bulan Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Impor,Surplus,"41,04 juta dolar",Agustus 2013,CORRECT,,13,Sulawesi Tenggara,"Berdasarkan data Badan Pusat Statistik pada bulan Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Impor,Surplus,"41,04 juta dolar",Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
14,Sulawesi Tenggara,"Berdasarkan data Badan Pusat Statistik pada bulan Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Ekspor,Surplus,"60,59 juta dolar AS",Agustus 2013,CORRECT,,14,Sulawesi Tenggara,"Berdasarkan data Badan Pusat Statistik pada bulan Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Ekspor,Surplus,"60,59 juta dolar AS",Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
15,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Angka kumulatif neraca perdagangan,Surplus,"300,09 juta dolar AS",Januari-Agustus 2013,CORRECT,,15,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Neraca perdagangan,Surplus,"300,09 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,FALSE,TRUE,TRUE
16,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Impor,surplus,"285,21 juta dolar AS",Januari-Agustus 2013,CORRECT,,16,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Impor,Surplus,"285,21 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
17,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Ekspor,surplus,"585,30 juta dolar AS",Januari-Agustus 2013,CORRECT,,17,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Ekspor,Surplus,"585,30 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
18,Sulawesi Tenggara,"- Nominal PDRB triwulan I tahun 2013 mencapai 9,56 triliun rupiah.",PDRB,Nominal,"9,56 triliun rupiah",triwulan I tahun 2013,CORRECT,,18,Sulawesi Tenggara,"- Nominal PDRB triwulan I tahun 2013 mencapai 9,56 triliun rupiah.",PDRB,Nominal,"9,56 triliun rupiah",triwulan I tahun 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
19,Sulawesi Tenggara,"- Nominal PDRB Triwulan II-2013 mencapai 9,93 triliun rupiah.",PDRB,Nominal,"9,93 triliun rupiah",Triwulan II-2013,CORRECT,,19,Sulawesi Tenggara,"- Nominal PDRB Triwulan II-2013 mencapai 9,93 triliun rupiah.",PDRB,Nominal,"9,93 triliun rupiah",triwulan II-2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
20,Sulawesi Tenggara,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Badan Pusat Statistik,surplus,"19,55 juta dolar AS",Agustus 2013,CORRECT,,20,Sulawesi Tenggara,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Badan Pusat Statistik,Surplus,"19,55 juta dolar AS",Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
21,Sulawesi Tenggara,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Impor,surplus,"41,04 juta dolar",Agustus 2013,CORRECT,,21,Sulawesi Tenggara,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Impor,Surplus,"41,04 juta dolar",Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
22,Sulawesi Tenggara,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",ekspor,surplus,"60,59 juta dolar AS",Agustus 2013,CORRECT,,22,Sulawesi Tenggara,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Ekspor,Surplus,"60,59 juta dolar AS",Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
23,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Angka kumulatif meraca perdagangan,Surplus,"300,09 juta dolar AS",Januari-Agustus 2013,CORRECT,,23,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Neraca perdagangan,Surplus,"300,09 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,FALSE,TRUE,TRUE
24,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Impor,Surplus,"285,21 juta dolar AS",Januari-Agustus 2013,CORRECT,,24,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Impor,Surplus,"285,21 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
25,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Ekspor,Surplus,"585,30 juta dolar AS",Januari-Agustus 2013,CORRECT,,25,Sulawesi Tenggara,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Ekspor,Surplus,"585,30 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,TRUE,TRUE,TRUE
26,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Sekitar 66,24 persen dari total ekspor non migas Sulawesi Tenggara (Sultra) pada Januari-Agustus 2013 atau senilai 387,72 juta dolar AS ditujukan ke China",total ekspor non migas Sulawesi Tenggara (Sultra),Persentase,"Sekitar 66,24 persen",Januari-Agustus 2013,CORRECT,,26,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Sekitar 66,24 persen dari total ekspor non migas Sulawesi Tenggara (Sultra) pada Januari-Agustus 2013 atau senilai 387,72 juta dolar AS ditujukan ke China",Total ekspor nonmigas Sulawesi Tenggara,Persentase,"Sekitar 66,24 persen",Januari-Agustus 2013,CORRECT,,TRUE,FALSE,TRUE,TRUE
27,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Sekitar 66,24 persen dari total ekspor non migas Sulawesi Tenggara (Sultra) pada Januari-Agustus 2013 atau senilai 387,72 juta dolar AS ditujukan ke China",total ekspor non migas Sulawesi Tenggara (Sultra),Nominal,"387,72 juta dolar AS",Januari-Agustus 2013,CORRECT,,27,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Sekitar 66,24 persen dari total ekspor non migas Sulawesi Tenggara (Sultra) pada Januari-Agustus 2013 atau senilai 387,72 juta dolar AS ditujukan ke China",Total ekspor nonmigas Sulawesi Tenggara,Nominal,"387,72 juta dolar AS",Januari-Agustus 2013,CORRECT,,TRUE,FALSE,TRUE,TRUE
28,Sulawesi Tenggara,"Tujuan ekpor terbesar kedua adalah Belanda yakni 105,40 juta dolar AS dan Korea Selatan menempati posisi ketiga tujuan ekspor dengan capaian 72,07 juta dolar AS.",,Nominal,"105,40 juta dolar AS",,INC-NOT-ATTR,,28,Sulawesi Tenggara,"Tujuan ekpor terbesar kedua adalah Belanda yakni 105,40 juta dolar AS dan Korea Selatan menempati posisi ketiga tujuan ekspor dengan capaian 72,07 juta dolar AS.",,Nominal,"105,40 juta dolar AS",,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
29,Sulawesi Tenggara,"Tujuan ekpor terbesar kedua adalah Belanda yakni 105,40 juta dolar AS dan Korea Selatan menempati posisi ketiga tujuan ekspor dengan capaian 72,07 juta dolar AS.",,Nominal,"72,07 juta dolar AS",,INC-NOT-ATTR,,29,Sulawesi Tenggara,"Tujuan ekpor terbesar kedua adalah Belanda yakni 105,40 juta dolar AS dan Korea Selatan menempati posisi ketiga tujuan ekspor dengan capaian 72,07 juta dolar AS.",,Nominal,"72,07 juta dolar AS",,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
30,Sulawesi Tenggara,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",,,kedua,,INC-NOT-ATTR,,30,Sulawesi Tenggara,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",,,kedua,,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
31,Sulawesi Tenggara,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",,Nominal,"105,40 juta dolar AS",,INC-NOT-ATTR,,31,Sulawesi Tenggara,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",,Nominal,"105,40 juta dolar AS",Agustus 2013,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
32,Sulawesi Tenggara,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",,Nominal,"56,50 juta dolar AS",,INC-NOT-ATTR,,32,Sulawesi Tenggara,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",,Nominal,"56,50 juta dolar AS",Agustus 2013,INC-NOT-ATTR,,TRUE,TRUE,TRUE,TRUE
33,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",bijih logam terak dan abu,Persentase,"67,20 persen",,CORRECT,,33,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",Bijih logam terak dan abu,Persentase,"67,20 persen",,CORRECT,,TRUE,TRUE,TRUE,TRUE
34,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",bijih logam terak dan abu,Nominal,"393,33 juta dolar AS",,CORRECT,,34,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",Bijih logam terak dan abu,Nominal,"393,33 juta dolar AS",,CORRECT,,TRUE,TRUE,TRUE,TRUE
35,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",besi dan baja,Nominal,"176,25 juta dolar AS",,CORRECT,,35,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",Ekspor besi dan baja,Nominal,"176,25 juta dolar AS",,CORRECT,,TRUE,FALSE,TRUE,TRUE
36,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",besi dan baja,Persentase,"30,11 persen",,CORRECT,,36,Sulawesi Tenggara,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",Ekspor besi dan baja,Persentase,"30,11 persen",,CORRECT,,TRUE,FALSE,TRUE,TRUE
37,Sulawesi Tenggara,"Pada Agustus 2013 lalu deng nilai mencapai 348,54 juta dolar AS, sementara besi dan baja nilainya mencapai 160,68 juta dolar AS.",besi dan baja,Nominal,"160,68 juta dolar AS",,CORRECT,,37,Sulawesi Tenggara,"Pada Agustus 2013 lalu deng nilai mencapai 348,54 juta dolar AS, sementara besi dan baja nilainya mencapai 160,68 juta dolar AS.",Besi dan baja,Nominal,"160,68 juta dolar AS",,CORRECT,,TRUE,TRUE,TRUE,TRUE
38,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Impor,Nominal,"193,74 juta dolar AS",,CORRECT,,38,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Impor,Nominal,"193,74 juta dolar AS",,CORRECT,,TRUE,TRUE,TRUE,TRUE
39,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Impor,persentase,"67,93 persen",,CORRECT,,39,Sulawesi Tenggara,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Impor,Persentase,"67,93 persen",,CORRECT,,TRUE,TRUE,TRUE,TRUE
