sentence_num,token,tag
21,itu,PR
21,sudah,MD
21,berhasil,VB
21,membujuk,VB
21,banyak,CD
21,orang,NN
21,yang,SC
21,sangat,RB
21,kaya,JJ
21,di,IN
21,Amerika,NNP
21,agar,SC
21,menyumbangkan,VB
21,separuh,CD
21,kekayaan,NN
21,mereka,PRP
21,.,Z
22,Ada,VB
22,kerahasiaan,NN
22,mengenai,IN
22,acara,NN
22,itu,PR
22,",",Z
22,pihak,NN
22,penyelenggara,NN
22,tidak,NEG
22,membeberkan,VB
22,nama-nama,NN
22,tamu,NN
22,.,Z
23,Salah satu,CD
23,orang,NN
23,yang,SC
23,akan,MD
23,menghadiri,VB
23,jamuan,NN
23,makan malam,NN
23,itu,PR
23,adalah,VB
23,Chen,NNP
23,Guangbiao,NNP
23,",",Z
23,seorang,NND
23,miliarder,NN
23,yang,SC
23,meraup,VB
23,kekayaan,NN
23,dari,IN
23,bisnis,NN
23,mendaur ulang,VB
23,sampah,NN
23,dari,IN
23,industri,NN
23,bangunan,NN
23,.,Z
24,Dia,PRP
24,mengatakan,VB
24,kepada,IN
24,BBC,NNP
24,bahwa,SC
24,dia,PRP
24,sudah,MD
24,berencana,VB
24,menyumbangkan,VB
24,seluruh,CD
24,harta,NN
24,-nya,PRP
24,untuk,IN
24,amal,NN
24,bila,SC
24,dia,PRP
24,meninggal,VB
24,.,Z
25,"""",Z
25,Beramal,VB
25,dan,CC
25,membantu,VB
25,sudah,MD
25,menjadi,VB
25,bagian,NN
25,dari,IN
25,budaya,NN
25,Cina,NNP
25,selama,IN
25,5.000,CD
25,tahun,NN
25,.,Z
26,Tetapi,CC
26,kegiatan,NN
26,amal,NN
26,resmi,JJ
26,baru,MD
26,dikembangkan,VB
26,di,IN
26,Cina,NNP
26,dalam,IN
26,30,CD
26,tahun,NN
26,terakhir,JJ
26,",",Z
26,sejak,SC
26,kami,PRP
26,menerapkan,VB
26,reformasi ekonomi,NN
26,.,Z
26,"""",Z
27,"""",Z
27,Banyak,CD
27,orang,NN
27,baru,MD
27,mulai,MD
27,menjadi,VB
27,kaya,JJ
27,dan,CC
27,kami,PRP
27,baru-baru ini,RB
27,saja,RB
27,bisa,MD
27,memberi,VB
27,makan,NN
27,diri,NN
27,sendiri,NN
27,",",Z
27,"""",Z
27,kata,VB
27,-nya,PRP
27,.,Z
28,Menyumbangkan,VB
28,uang,NN
28,untuk,IN
28,amal,NN
28,belum,NEG
28,begitu,RB
28,berkembang,VB
28,di,IN
28,Cina,NNP
28,sebaik,JJ
28,di,IN
28,banyak,CD
28,negara,NN
28,lain,JJ
28,.,Z
29,Kalau,SC
29,jamuan,NN
29,makan malam,NN
29,ini,PR
29,bisa,MD
29,dikatakan,VB
29,berhasil,VB
29,",",Z
29,keberhasilan,NN
29,itu,PR
29,adalah,VB
29,mendorong,VB
29,perdebatan,NN
29,mengenai,IN
29,apa,SC
29,arti,NN
29,beramal,VB
29,bagi,IN
29,yang,SC
29,membutuhkan,VB
29,.,Z
30,Kisah,NN
30,pendiri,NN
30,Facebook,NNP
30,dibuat,VB
30,komik,NN
31,Kisah,NN
31,pendiri,NN
31,Facebook,NNP
31,Mark,NNP
31,Zuckerberg,NNP
31,akan,MD
31,diceritakan,VB
31,dalam,IN
31,sebuah,NND
31,komik,NN
31,biografi,NN
31,.,Z
32,Komik,NN
32,dengan,IN
32,judul,NN
32,Mark,NNP
32,Zuckerberg,NNP
32,:,Z
32,Pencipta,NN
32,Facebook,NNP
32,",",Z
32,akan,MD
32,tersedia,VB
32,di,IN
32,pasar,NN
32,sebelum,SC
32,Desember,NNP
32,2010,CD
32,",",Z
32,demikian,PR
32,pernyataan,NN
32,penerbit,NNP
32,Bluewater,NNP
32,Productions,NNP
32,.,Z
33,Penulis,NNP
33,Jerome,NNP
33,Maida,NNP
33,menyebut,VB
33,kisah,NN
33,Zuckerberg,NNP
33,"""",Z
33,mengagumkan,VB
33,"""",Z
33,dan,CC
33,"""",Z
33,luar biasa,JJ
33,"""",Z
33,.,Z
34,Sebuah,NND
34,film,NN
34,mengenai,IN
34,Facebook,NNP
34,dengan,IN
34,judul,NN
34,The,NNP
34,Social,NNP
34,Network,NNP
34,",",Z
34,juga,RB
34,akan,MD
34,dirilis,VB
34,pada,IN
34,tanggal,NN
34,15,CD
34,Oktober,NNP
34,nanti,NN
34,.,Z
35,Film,NN
35,yang,SC
35,ditulis,VB
35,oleh,IN
35,pencipta,NN
35,serial,NN
35,West,NNP
35,Wing,NNP
35,Aaron,NNP
35,Sorkin,NNP
35,dan,CC
35,disutradarai,VB
35,oleh,IN
35,David,NNP
35,Fincher,NNP
35,yang,SC
35,pernah,MD
35,menggarap,VB
35,film,NN
35,Fight,NNP
35,',NNP
35,s,NNP
35,Club,NNP
35,ini,PR
35,sebenarnya,RB
35,belum,NEG
35,memperoleh,VB
35,izin,NN
35,Mark,NNP
35,Zuckerberg,NNP
35,.,Z
36,Pemuda,NN
36,berusia,VB
36,26,CD
36,tahun,NN
36,ini,PR
36,mengatakan,VB
36,"""",Z
36,Saya,PRP
36,mengharapkan,VB
36,tidak,NEG
36,ada,VB
36,orang,NN
36,yang,SC
36,membuat,VB
36,film,NN
36,tentang,IN
36,saya,PRP
36,ketika,SC
36,saya,PRP
36,masih,MD
36,hidup,VB
36,",",Z
36,"""",Z
36,kata,VB
36,-nya,PRP
36,dalam,IN
36,sebuah,NND
36,konferensi,NN
36,teknologi,NN
36,Juni,NNP
36,silam,NN
36,.,Z
37,Hingga,IN
37,Juli,NNP
37,2010,CD
37,lebih,RB
37,dari,IN
37,500,CD
37,juta,CD
37,yang,SC
37,terdaftar,VB
37,dalam,IN
37,situs,NN
37,jejaring,NN
37,sosial,JJ
37,tersebut,PR
37,.,Z
38,Hanya,RB
38,butuh,VB
38,enam,CD
38,tahun,NN
38,bagi,IN
38,Zuckerberg,NNP
38,untuk,SC
38,bisa,MD
38,mencapai,VB
38,kesuksesan,NN
38,seperti,SC
38,sekarang,NN
38,ini,PR
38,",",Z
38,setelah,SC
38,sebelum,SC
38,-nya,PRP
38,dia,PRP
38,meluncurkan,VB
38,situs,NN
38,ini,PR
38,saat,SC
38,masih,MD
38,duduk,VB
38,sebagai,IN
38,mahasiswa,NN
38,di,IN
38,Universitas,NNP
38,Harvard,NNP
38,.,Z
39,September,NNP
39,silam,NN
39,",",Z
39,majalah,NNP
39,Forbes,NNP
39,memasukkan,VB
39,dia,PRP
39,dalam,IN
39,daftar,NN
39,35,CD
39,orang,NN
39,terkaya,JJ
39,di,IN
39,Amerika,NNP
39,Serikat,NNP
39,dengan,SC
39,total,NN
39,kekayaan,NN
39,diperkirakan,VB
39,mencapai,VB
39,US,NNP
39,$,SYM
39,"6,4",CD
39,miliar,CD
39,.,Z
40,Tetapi,CC
40,langkah,NN
40,dia,PRP
40,menuju,VB
40,kesuksesan,NN
40,tidak,NEG
40,lah,RP
40,mulus,JJ
40,.,Z
41,Dua,CD
41,orang,NND
41,rekan,NN
41,Zuckerberg,NNP
41,di,IN
41,Harvard,NNP
41,mengklaim,VB
41,ide,NN
41,pembuatan,NN
41,Facebook,NNP
41,datang,VB
41,dari,IN
41,mereka,PRP
41,.,Z
42,Mereka,PRP
42,terlibat,VB
42,dalam,IN
42,sengketa,NN
42,hukum,NN
42,yang,SC
42,berlarut-larut,VB
42,pada,IN
42,tahun,NN
42,2008,CD
42,dan,CC
42,diakhiri,VB
42,dengan,IN
42,pembayaran,NN
42,yang,SC
42,dirahasiakan,VB
42,jumlah,NN
42,-nya,PRP
42,kepada,IN
42,Cameron,NNP
42,dan,CC
42,Tyler,NNP
42,Winklevoss,NNP
42,",",Z
42,yang,SC
42,kini,NN
42,juga,RB
42,membuat,VB
42,situs,NN
42,jejaring,NN
42,sosial,JJ
42,bernama,VB
42,ConnectU,NNP
42,.,Z
43,Perebutan,NN
43,jamrud,NNP
43,Bahia,NNP
43,raksasa,JJ
44,Jaksa,NN
44,Kalifornia,NNP
44,akan,MD
44,mulai,MD
44,menanyai,VB
44,sejumlah,CD
44,pihak,NN
44,untuk,SC
44,menentukan,VB
44,mengenai,SC
44,kepemilikan,NN
44,dari,IN
44,jamrud,NN
44,raksasa,JJ
44,",",Z
44,yang,SC
44,disebut,VB
44,sebagai,IN
44,terbesar,JJ
44,.,Z
45,Jamrud,NNP
45,Bahia,NNP
45,dinamakan,VB
45,sesuai,JJ
45,lokasi,NN
45,penemuan,NN
45,-nya,PRP
45,di,IN
45,salah satu,CD
45,daerah,NN
45,di,IN
45,Brasil,NNP
45,memiliki,VB
45,berat,NN
45,380,CD
45,kg,NND
45,.,Z
46,Diperkirakan,VB
46,jamrud,NN
46,raksasa,JJ
46,itu,PR
46,bernilai,VB
46,lebih,RB
46,dari,IN
46,US,NNP
46,$,SYM
46,370,CD
46,juta,CD
46,dan,CC
46,setidaknya,RB
46,enam,CD
46,orang,NN
46,mengklaim,VB
46,kepemilikan,NN
46,hak,NN
46,atas,IN
46,batu,NN
46,tersebut,PR
46,.,Z
47,Jaksa,NN
47,akan,MD
47,mendengarkan,VB
47,semua,CD
47,pihak,NN
47,yang,SC
47,mengklaim,VB
47,permata,NN
47,itu,PR
47,",",Z
47,sebelum,SC
47,memutuskan,VB
47,kasus,NN
47,-nya,PRP
47,pada,IN
47,Oktober,NNP
47,nanti,NN
47,.,Z
48,Salah satu,CD
48,dari,IN
48,pihak,NN
48,yang,SC
48,berselisih,VB
48,",",Z
48,adalah,VB
48,Anthony,NNP
48,Thomas,NNP
48,ahli,NN
48,konstruksi,NN
48,dari,IN
48,Kalifornia,NNP
48,yang,SC
48,mengatakan,VB
48,dia,PRP
48,telah,MD
48,membayar,VB
48,kepada,IN
48,dua,CD
48,orang,NND
48,agen,NN
48,permata,NN
48,Brasil,NNP
48,senilai,NN
48,US,NNP
48,$,SYM
48,60.000,CD
48,untuk,IN
48,jamrud,NN
48,tersebut,PR
48,tak,NEG
48,lama,JJ
48,setelah,SC
48,ditemukan,VB
48,sembilan,CD
48,tahun,NN
48,lalu,NN
48,.,Z
49,Thomas,NNP
49,mengatakan,VB
49,telah,MD
49,mengatur,VB
49,agar,SC
49,batu,NN
49,itu,PR
49,dikirim,VB
49,melalui,IN
49,kapal,NN
49,ke,IN
49,kediaman,NN
49,-nya,PRP
49,di,IN
49,San,NNP
49,Jose,NNP
49,",",Z
49,tetapi,CC
49,tak,NEG
49,pernah,MD
49,muncul,VB
49,.,Z
50,Dia,PRP
50,percaya,VB
50,batu,NN
50,itu,PR
50,telah,MD
50,dicuri,VB
50,untuk,SC
50,dijual,VB
50,kembali,RB
50,dengan,IN
50,harga,NN
50,yang,SC
50,lebih,RB
50,mahal,JJ
50,.,Z
51,Thomas,NNP
51,hanya,RB
51,salah satu,CD
51,dari,IN
51,enam,CD
51,pihak,NN
51,yang,SC
51,mengklaim,VB
51,sebagai,IN
51,pemilik,NN
51,jamrud,NN
51,raksasa,JJ
51,itu,PR
51,.,Z
52,Satu,CD
52,masalah,NN
52,yang,SC
52,dihadapi,VB
52,adalah,VB
52,dia,PRP
52,kehilangan,VB
52,tanda terima,NN
52,akibat,IN
52,kebakaran,NN
52,yang,SC
52,melanda,VB
52,rumah,NN
52,-nya,PRP
52,.,Z
53,Jamrud,NN
53,itu,PR
53,akhirnya,RB
53,sampai,VB
53,ke,IN
53,Amerika,NNP
53,",",Z
53,meskipun,SC
53,setibanya,SC
53,di,IN
53,Amerika,NNP
53,tidak,NEG
53,jelas,JJ
53,siapa,SC
53,pemilik,NN
53,-nya,PRP
53,.,Z
54,Satu,CD
54,hal,NN
54,yang,SC
54,diketahui,VB
54,batu,NN
54,itu,PR
54,sempat,MD
54,disimpan,VB
54,di,IN
54,lemari besi,NN
54,bank,NN
54,di,IN
54,New,NNP
54,Orleans,NNP
54,yang,SC
54,terkena,VB
54,banjir,NN
54,ketika,SC
54,daerah,NN
54,itu,PR
54,diterjang,VB
54,Badai,NNP
54,Katrina,NNP
54,",",Z
54,sehingga,SC
54,batu,NN
54,berharga,JJ
54,terendam,VB
54,di,IN
54,dalam,NN
54,air,NN
54,untuk,IN
54,beberapa,CD
54,bulan,NN
54,.,Z
55,Jamrud,NNP
55,Bahia,NNP
55,kemudian,RB
55,dibawa,VB
55,ke,IN
55,Las,NNP
55,Vegas,NNP
55,untuk,SC
55,dilihat,VB
55,oleh,IN
55,calon,NN
55,pembeli,NN
55,namun,CC
55,disita,VB
55,oleh,IN
55,polisi,NN
55,Los,NNP
55,Angeles,NNP
55,.,Z
56,Badut,NN
56,politikus,NN
56,ditantang,VB
56,baca,VB
56,tulis,VB
57,Seorang,NND
57,badut,NN
57,di,IN
57,Brasil,NNP
57,yang,SC
57,mempunyai,VB
57,peluang,NN
57,besar,JJ
57,meraih,VB
57,kursi,NN
57,di,IN
57,parlemen,NN
57,dalam,IN
57,pemilihan,NN
57,Minggu,NNP
57,(,Z
57,3,CD
57,/,Z
57,10,CD
57,),Z
57,-,Z
57,ditantang,VB
57,untuk,SC
57,membuktikan,VB
57,bahwa,SC
57,dia,PRP
57,bisa,MD
57,membaca,VB
57,dan,CC
57,menulis,VB
57,.,Z
58,Jajak,NN
58,pendapat,NN
58,memperlihatkan,VB
58,badut,NN
58,itu,PR
58,",",Z
58,Tiririca,NNP
58,",",Z
58,akan,MD
58,meraih,VB
58,lebih,RB
58,dari,IN
58,satu,CD
58,juta,CD
58,suara,NN
58,.,Z
59,Namun,CC
59,hakim,NN
59,di,IN
59,Sao,NNP
59,Paulo,NNP
59,menuntut,VB
59,dia,PRP
59,untuk,SC
59,memperlihatkan,VB
59,bisa,MD
59,memenuhi,VB
59,persyaratan,NN
59,baca,VB
59,tulis,VB
59,.,Z
60,Sejumlah,CD
60,surat kabar,NN
60,Brasil,NNP
60,melaporkan,VB
60,Tiririca,NNP
60,-,Z
60,sama,JJ
60,seperti,IN
60,satu,CD
60,dari,IN
60,sepuluh,CD
60,warga,NN
60,Brasil,NNP
60,buta aksara,JJ
60,.,Z
61,Tiririca,NNP
61,-,Z
61,yang,SC
61,dalam,IN
61,bahasa sehari-hari,NN
61,Portugis,NNP
61,arti,NN
61,-nya,PRP
61,tukang,NN
61,mengeluh,VB
61,menjadi,VB
61,sensasi,NN
61,besar,JJ
61,selama,IN
61,kampanye,NN
61,pemilihan,NN
61,.,Z
62,Video,NN
62,kampanye,NN
62,-nya,PRP
62,yang,SC
62,kocak,JJ
62,berhasil,VB
62,meraih,VB
62,jutaan,CD
62,penonton,NN
62,di,IN
62,YouTube,NNP
62,.,Z
63,Dia,PRP
63,antara,IN
63,lain,JJ
63,menggunakan,VB
63,slogan,NN
63,"""",Z
63,Tidak,NEG
63,bisa,MD
63,lebih,RB
63,buruk,JJ
63,lagi,RB
63,"""",Z
63,dan,CC
63,"""",Z
63,Apa,WH
63,yang,SC
63,dilakukan,VB
63,wakil,NN
63,anda,PRP
63,?,Z
63,Sungguh,RB
63,saya,PRP
63,tidak,NEG
63,tahu,VB
63,.,Z
63,Tapi,CC
63,pilih,VB
63,lah,RP
63,saya,PRP
63,dan,CC
63,saya,PRP
63,akan,MD
63,mencari tahu,VB
63,untuk,IN
63,anda,PRP
63,.,Z
63,"""",Z
64,Hakim,NN
64,memutuskan,VB
64,untuk,SC
64,menggelar,VB
64,ujian,NN
64,aksara,NN
64,setelah,SC
64,majalah,NNP
64,Epoca,NNP
64,menayangkan,VB
64,video,NN
64,di,IN
64,situs,NN
64,-nya,PRP
64,yang,SC
64,memperlihatkan,VB
64,Tiririca,NNP
64,tampak,VB
64,kesulitan,VB
64,membaca,VB
64,.,Z
65,Komisi,NN
65,pemilihan,NN
65,mengatakan,VB
65,sudah,MD
65,terlambat,VB
65,untuk,SC
65,menghentikan,VB
65,pencalonan,NN
65,-nya,PRP
65,namun,CC
65,dia,PRP
65,bisa,MD
65,diberhentikan,VB
65,setelah,SC
65,pemilihan,NN
65,nanti,NN
65,jika,SC
65,gagal,VB
65,memperlihatkan,VB
65,kemampuan,NN
65,membaca,VB
65,.,Z
66,Calon,NN
66,selebriti,NN
67,Tiririca,NNP
67,",",Z
67,yang,SC
67,nama,NN
67,asli,JJ
67,-nya,PRP
67,Francisco,NNP
67,Everardo,NNP
67,Oliveira,NNP
67,Silva,NNP
67,-,Z
67,mulai,MD
67,bekerja,VB
67,di,IN
67,sirkus,NN
67,sejak,SC
67,berusia,VB
67,delapan,CD
67,tahun,NN
67,di,IN
67,negara bagian,NN
67,miskin,JJ
67,",",Z
67,Ceara,NNP
67,.,Z
68,Dengan,IN
68,pengalaman,NN
68,-nya,PRP
68,",",Z
68,dia,PRP
68,kini,NN
68,menjadi,VB
68,salah seorang,CD
68,pelawak,NN
68,yang,SC
68,terkenal,VB
68,di,IN
68,TV,NN
68,.,Z
69,Dia,PRP
69,merupakan,VB
69,salah seorang,CD
69,dari,IN
69,puluhan,CD
69,calon,NN
69,yang,SC
69,berasal,VB
69,dari,IN
69,dunia,NN
69,olahraga,NN
69,maupun,CC
69,pertunjukan,NN
69,",",Z
69,yang,SC
69,berjuang,VB
69,untuk,SC
69,merebut,VB
69,kursi,NN
69,di,IN
69,majelis rendah,NN
69,parlemen,NN
69,dengan,SC
69,bersaing,VB
69,melawan,VB
69,politikus,NN
69,berpengalaman,VB
69,.,Z
70,Seluruhnya,RB
70,tercatat,VB
70,6.000,CD
70,calon,NN
70,dari,IN
70,27,CD
70,partai,NN
70,untuk,SC
70,meraih,VB
70,513,CD
70,kursi,NN
70,di,IN
70,parlemen,NN
70,.,Z
71,Calon,NN
71,lain,JJ
71,yang,SC
71,diduga,VB
71,akan,MD
71,meraih,VB
71,kursi,NN
71,di,IN
71,parlemen,NN
71,dengan,IN
71,kemenangan,NN
71,mutlak,JJ
71,adalah,VB
71,Romario,NNP
71,",",Z
71,yang,SC
71,merupakan,VB
71,salah seorang,CD
71,bintang,NN
71,sepak bola,NN
71,Brasil,NNP
71,saat,SC
71,meraih,VB
71,Piala,NNP
71,Dunia,NNP
71,1994,CD
71,.,Z
72,Para,DT
72,pengamat,NN
72,mengatakan,VB
72,popularitas,NN
72,para,DT
72,selebriti,NN
72,mencerminkan,VB
72,kebingungan,NN
72,dengan,IN
72,politik,NN
72,utama,JJ
72,karena,IN
72,marak,JJ
72,-nya,PRP
72,sejumlah,CD
72,skandal,NN
72,korupsi,NN
72,.,Z
73,Ibu,NN
73,",",Z
73,bayi,NN
73,dan,CC
73,parlemen,NN
74,Seorang,NND
74,anggota,NN
74,Parlemen,NNP
74,Eropa,NNP
74,asal,IN
74,Italia,NNP
74,menghadiri,VB
74,sidang,NN
74,parlemen,NN
74,di,IN
74,Strasbourg,NNP
74,dengan,SC
74,menggendong,VB
74,anak,NN
74,bayi,NN
74,-nya,PRP
74,.,Z
75,Licia,NNP
75,Ronzulli,NNP
75,mengatakan,VB
75,ia,PRP
75,ingin,RB
75,menunjukkan,VB
75,berat,JJ
75,-nya,PRP
75,beban,NN
75,yang,SC
75,ditanggung,VB
75,kaum,NN
75,perempuan,NN
75,untuk,SC
75,menjalani,VB
75,karir,NN
75,sekaligus,RB
75,mengasuh,VB
75,anak,NN
75,.,Z
76,Para,DT
76,anggota,NN
76,parlemen,NN
76,sedang,MD
76,membahas,VB
76,usul,NN
76,untuk,SC
76,memperbaiki,VB
76,hak,NN
76,maupun,CC
76,kesempatan,NN
76,bagi,IN
76,perempuan,NN
76,untuk,SC
76,bekerja,VB
76,.,Z
77,Vittoria,NNP
77,yang,SC
77,baru,MD
77,berusia,VB
77,satu,CD
77,bulan,NN
77,tampak,VB
77,tidur,VB
77,nyenyak,JJ
77,selama,SC
77,sidang,NN
77,berlangsung,VB
77,.,Z
78,Ronzulli,NNP
78,yang,SC
78,mewakili,VB
78,Partai,NNP
78,Kebebasan,NNP
78,Rakyat,NNP
78,pimpinan,NN
78,PM,NNP
78,Italia,NNP
78,Silvio,NNP
78,Berlusconi,NNP
78,mendapat,VB
78,sambutan,NN
78,meriah,JJ
78,ketika,SC
78,berdiri,VB
78,untuk,SC
78,menyampaikan,VB
78,pidato,NN
78,-nya,PRP
78,.,Z
79,Ia,PRP
79,mengatakan,VB
79,kepada,IN
79,rekan,NN
79,-nya,PRP
79,sesama,NN
79,anggota,NN
79,parlemen,NN
79,:,Z
79,"""",Z
79,Saya,PRP
79,ingin,RB
79,melihat,VB
79,komitmen,NN
79,yang,SC
79,lebih,RB
79,besar,JJ
79,untuk,IN
79,persoalan-persoalan,NN
79,ini,PR
79,dari,IN
79,lembaga-lembaga,NN
79,Eropa,NNP
79,",",Z
79,dimulai,VB
79,dari,IN
79,dalam,NN
79,Parlemen,NNP
79,Eropa,NNP
79,sendiri,NN
79,.,Z
79,"""",Z
80,Naskah,NN
80,asli,JJ
80,Harry,NNP
80,Potter,NNP
80,dipamerkan,VB
81,Naskah,NN
81,asli,JJ
81,dari,IN
81,kisah,NN
81,Harry,NNP
81,Potter,NNP
81,yang,SC
81,ditulis,VB
81,tangan,NN
81,oleh,IN
81,pengarang,NN
81,-nya,PRP
81,",",Z
81,JK,NNP
81,Rowling,NNP
81,",",Z
81,dipamerkan,VB
81,sebagai,IN
81,bagian,NN
81,dari,IN
81,festival,NN
81,buku,NN
81,di,IN
81,Skotlandia,NNP
81,selatan,NNP
81,.,Z
82,Dua,CD
82,halaman,NND
82,naskah,NN
82,yang,SC
82,dibingkai,VB
82,dan,CC
82,ditandatangani,VB
82,oleh,IN
82,JK,NNP
82,Rowling,NNP
82,itu,PR
82,berisi,VB
82,Balada,NN
82,Nick,NNP
82,Si,DT
82,Kepala,NN
82,Nyaris,RB
82,Putus,VB
82,.,Z
83,Naskah,NN
83,itu,PR
83,akan,MD
83,dipamerkan,VB
83,dalam,IN
83,festival,NN
83,di,IN
83,kota,NNP
83,Wigtown,NNP
83,tanggal,NN
83,24,CD
83,sampai,IN
83,3,CD
83,Oktober,NNP
83,.,Z
