source,sentence,ARG0,PRED,ARG1,TAG,NUM_CATEGORY
Wikipedia,"Hingga 2019, Badan Bahasa mencatat ada 14 bahasa daerah di Sulawesi Tenggara.",Badan Bahasa,jumlah bahasa daerah di Sulawesi Tenggara,14,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Bajo,1,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Bali,2,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Cia-Cia,3,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Culambacu,4,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Pulo,11,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Sunda,12,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Sunda,13,INCORRECT,CRD
Wikipedia,"Keempat belas bahasa tersebut adalah: (1) Bajo, (2) Bali, (3) Cia-Cia, (4) Culambacu, (5) Jawa, (6) Kulisusu, (7) Lasalimu-Kamaru, (8) Morunene, (9) Muna, (10) Pulo, (11) Sasak, (12) Sunda, (13) Tolaki, dan (14) Wolio.",bahasa tersebut,jumlah Wolio,14,INCORRECT,CRD
Wikipedia,"Pada Pemilu Legislatif 2014 lalu, DPRD Sulawesi Tenggara berjumlah 45 orang dengan perwakilan delapan partai politik.",DPRD Sulawesi Tenggara,jumlah orang dengan perwakilan,45,INCORRECT,CRD
Wikipedia,"Pada Pemilu Legislatif 2014 lalu, DPRD Sulawesi Tenggara berjumlah 45 orang dengan perwakilan delapan partai politik.",DPRD Sulawesi Tenggara,jumlah partai politik,delapan,CORRECT,CRD
Wikipedia,"Berdasarkan data Badan Pusat Statistik pada bulan Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",impor,mencapai,"41,04 juta dolar",CORRECT,MON
Wikipedia,"Berdasarkan data Badan Pusat Statistik pada bulan Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",impor,dolar dan ekspor,"60,59 juta dolar AS",INCORRECT,MON
Wikipedia,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",Angka kumulatif neraca perdagangan Januari-Agustus,mencapai,"300,09 juta dolar AS",CORRECT,MON
Wikipedia,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",dolar AS dan ekspor,impor sebesar,"285,21 juta dolar AS",INCORRECT,MON
Wikipedia,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",impor sebesar,angka,"585,30 juta dolar AS",INCORRECT,MON
Wikipedia,"- Nominal PDRB triwulan I tahun 2013 mencapai 9,56 triliun rupiah.",Nominal PDRB triwulan,mencapai,"9,56 triliun rupiah",INCORRECT,MON
Wikipedia,"- Nominal PDRB Triwulan II-2013 mencapai 9,93 triliun rupiah.",Nominal PDRB Triwulan II-2013,mencapai,"9,93 triliun rupiah",CORRECT,MON
Wikipedia,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",Badan Pusat Statistik Pada Agustus,surplus,"19,55 juta dolar AS",CORRECT,MON
Wikipedia,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",impor,mencapai,"41,04 juta dolar",CORRECT,MON
Wikipedia,"Badan Pusat Statistik Pada Agustus 2013 mengalami surplus 19,55 juta dolar AS di mana impor mencapai 41,04 juta dolar dan ekspor 60,59 juta dolar AS.",impor,dolar dan ekspor,"60,59 juta dolar AS",INCORRECT,MON
Wikipedia,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",dolar AS dan ekspor,impor sebesar,"285,21 juta dolar AS",INCORRECT,MON
Wikipedia,"Angka kumulatif neraca perdagangan Januari-Agustus 2013 juga mengalami surplus yang mencapai 300,09 juta dolar AS di mana perbandingannya, impor sebesar 285,21 juta dolar AS dan ekspor mencapai angka 585,30 juta dolar AS.",impor sebesar,angka,"585,30 juta dolar AS",INCORRECT,MON
Wikipedia,"Badan Pusat Statistik Sulawesi Tenggara Sekitar 66,24 persen dari total ekspor non migas Sulawesi Tenggara (Sultra) pada Januari-Agustus 2013 atau senilai 387,72 juta dolar AS ditujukan ke China",Badan Pusat Statistik Sulawesi Tenggara Sekitar,ditujukan,"387,72 juta dolar AS",INCORRECT,MON
Wikipedia,"Tujuan ekpor terbesar kedua adalah Belanda yakni 105,40 juta dolar AS dan Korea Selatan menempati posisi ketiga tujuan ekspor dengan capaian 72,07 juta dolar AS.",Tujuan ekpor terbesar,Belanda,"105,40 juta dolar AS",INCORRECT,MON
Wikipedia,"Tujuan ekpor terbesar kedua adalah Belanda yakni 105,40 juta dolar AS dan Korea Selatan menempati posisi ketiga tujuan ekspor dengan capaian 72,07 juta dolar AS.",Tujuan ekpor terbesar,tujuan ekspor dengan capaian,"72,07 juta dolar AS",INCORRECT,MON
Wikipedia,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",Agustus,jumlah negara itu masing-masing dengan nilai,kedua,INCORRECT,CRD
Wikipedia,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",Agustus,negara itu masing-masing dengan nilai,"105,40 juta dolar AS",INCORRECT,MON
Wikipedia,"Agustus 2013 paian nilai ekspor kedua negara itu masing-masing dengan nilai 105,40 juta dolar AS dan 56,50 juta dolar AS.",Agustus,negara itu masing-masing dengan nilai,"56,50 juta dolar AS",INCORRECT,MON
Wikipedia,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",Total ekspor itu,persentase bijih logam terak dan abu,"67,20 persen",INCORRECT,PRC
Wikipedia,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",Total ekspor itu,nilai,"393,33 juta dolar AS",INCORRECT,MON
Wikipedia,"Total ekspor itu, terbesar dari bijih logam terak dan abu yakni mencapai 67,20 persen dengan nilai 393,33 juta dolar AS dan ekspor besi dan baja mencapai nilai 176,25 juta dolar AS dengan nilai 30,11 persen.",Total ekspor itu,nilai,"176,25 juta dolar AS",INCORRECT,MON
Wikipedia,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya,mencapai,"193,74 juta dolar AS",CORRECT,MON
Wikipedia,"Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya mencapai 193,74 juta dolar AS atau 67,93 persen dari seluruh impor yang terhitung dari januari-Agustus 2013 mencapai 285,21 juta dolar AS atau naik 33,36 persen.",Badan Pusat Statistik Sulawesi Tenggara Pangsa impor terbesar datangnya dari negara tetangga Singapura yang nilainya,mencapai,"285,21 juta dolar AS",INCORRECT,MON
Wikipedia,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Urutan,jumlah negara pengimpor,tiga,INCORRECT,CRD
Wikipedia,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Urutan,nilai,"77,89 juta dolar atauy",INCORRECT,MON
Wikipedia,"Urutan kedua dan tiga negara pengimpor ditempati Malaysia yang mencapai nilai 77,89 juta dolar atauy 27,31 persen dan impor Cina hanya mnecapai nilkai 12,43 juta dolar AS atau 4,36 persen dari total impor seluruhnya.",Urutan,impor Cina hanya mnecapai nilkai,"12,43 juta dolar AS",INCORRECT,MON
Wikipedia,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Amsterdam,jumlah jiwa di dalam batas kota,980.876,CORRECT,CRD
Wikipedia,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Amsterdam,jumlah jiwa dan populasi,1.209.419,INCORRECT,CRD
Wikipedia,"Amsterdam memiliki jumlah penduduk sebanyak 980.876 jiwa di dalam batas kota, populasi perkotaan 1.209.419 jiwa dan populasi metropolitan 2.158.592 jiwa.",Amsterdam,jumlah jiwa,2.158.592,INCORRECT,CRD
Wikipedia,"Wilayah Amsterdam mencakup bagian utara Randstad, salah satu konurbasi terbesar di Eropa dengan jumlah penduduk sekitar 7 juta jiwa.",Wilayah Amsterdam,jumlah jiwa,sekitar 7 juta,CORRECT,CRD
Wikipedia,"Banyak perusahaan besar Belanda memiliki kantor pusat di sana, dan 7 dari 500 perusahaan teratas dunia, termasuk Philips dan ING, berpusat di kota ini.",perusahaan besar Belanda,jumlah perusahaan,7,INCORRECT,CRD
Wikipedia,"Banyak perusahaan besar Belanda memiliki kantor pusat di sana, dan 7 dari 500 perusahaan teratas dunia, termasuk Philips dan ING, berpusat di kota ini.",perusahaan besar Belanda,jumlah perusahaan,500,INCORRECT,CRD
Wikipedia,"Tempat-tempat wisata utama Amsterdam, termasuk kanal-kanal bersejarahnya, Rijksmuseum, Van Gogh Museum, Stedelijk Museum, Hermitage Amsterdam, Anne Frank House, Amsterdam Museum, distrik lampu merah, dan kedai kopi cannabisnya menarik lebih dari 3,66 juta wisatawan mancanegara setiap tahunnya.",Tempat-tempat wisata utama Amsterdam,jumlah wisatawan mancanegara,"lebih dari 3,66 juta",CORRECT,CRD
Wikipedia,Amsterdam berada sekitar 2 meter di bawah permukaan laut.,Amsterdam,berada,sekitar 2 meter,INCORRECT,QTY
Wikipedia,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,luas,"219,4 km",CORRECT,QTY
Wikipedia,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,jumlah penduduk per km,4.457,CORRECT,CRD
Wikipedia,"Kota ini memiliki luas 219,4 km, 4.457 penduduk per km dan 2.275 rumah per km.",Kota ini,jumlah rumah per km,2.275,CORRECT,CRD
Wikipedia,"Amsterdam memiliki kanal sepanjang lebih dari 100 kilometer (60 mil), yang sebagian besar dapat dilewati oleh perahu.",Amsterdam,kanal sepanjang,lebih dari 100 kilometer ( 60 mil,CORRECT,QTY
Wikipedia,"Amsterdam sering dibandingkan dengan Venesia, karena pembagiannya menjadi sekitar 90 pulau, yang dihubungkan oleh lebih dari 1.200 jembatan.",pembagiannya,jumlah pulau,sekitar 90,INCORRECT,CRD
Wikipedia,"Amsterdam sering dibandingkan dengan Venesia, karena pembagiannya menjadi sekitar 90 pulau, yang dihubungkan oleh lebih dari 1.200 jembatan.",pembagiannya,dihubungkan,lebih dari 1.200 jembatan,INCORRECT,QTY
Wikipedia,"Bahkan, karena Amsterdam dikelilingi di tiga sisi oleh perairan yang besar, serta memiliki efek pulau bahang yang signifikan, suhu malam hari jarang jatuh di bawah -5 °C, sementara itu suhu malam hari bisa dengan mudah mencapai −12 °C di Hilversum, 25 kilometer ke tenggara.",Amsterdam,jumlah sisi oleh perairan yang besar,tiga,CORRECT,CRD
Wikipedia,"Bahkan, karena Amsterdam dikelilingi di tiga sisi oleh perairan yang besar, serta memiliki efek pulau bahang yang signifikan, suhu malam hari jarang jatuh di bawah -5 °C, sementara itu suhu malam hari bisa dengan mudah mencapai −12 °C di Hilversum, 25 kilometer ke tenggara.",suhu malam hari bisa dengan mudah,mencapai,25 kilometer,INCORRECT,QTY
Wikipedia,"Suhu tinggi harian rata-rata pada bulan Agustus adalah 22,1 °C, dan 30 °C atau lebih tinggi hanya diukur rata-rata setiap 2,5 hari, menempatkan Amsterdam di Zona Panas AHS 2.",Suhu tinggi harian rata-rata pada bulan Agustus,jumlah °C atau lebih tinggi,30,INCORRECT,CRD
Wikipedia,"Suhu tinggi harian rata-rata pada bulan Agustus adalah 22,1 °C, dan 30 °C atau lebih tinggi hanya diukur rata-rata setiap 2,5 hari, menempatkan Amsterdam di Zona Panas AHS 2.",Suhu tinggi harian rata-rata pada bulan Agustus,jumlah Amsterdam di Zona Panas AHS,2,INCORRECT,CRD
Wikipedia,"Hari-hari dengan presipitasi lebih dari 1 milimeter sering terjadi, rata-rata 133 hari per tahun.",Hari-hari dengan presipitasi,jumlah milimeter,1,INCORRECT,CRD
Wikipedia,"Hari-hari dengan presipitasi lebih dari 1 milimeter sering terjadi, rata-rata 133 hari per tahun.",Hari-hari dengan presipitasi,hari per tahun,133 hari,INCORRECT,QTY
Wikipedia,"Presipitasi tahunan rata-rata di Amsterdam adalah 838 milimeter, lebih dari yang diukur di Bandara Schiphol Amsterdam.",Presipitasi tahunan rata-rata di Amsterdam,jumlah milimeter,838,INCORRECT,CRD
Wikipedia,"5 firma hukum terbesar di Belanda, termasuk Boston Consulting Group dan Accenture, juga World Trade Center Amsterdam juga berlokasi di Zuidas.",World Trade Center Amsterdam,jumlah firma hukum terbesar di Belanda,5,INCORRECT,CRD
Wikipedia,"Pada tahun 2014, Pelabuhan Amsterdam mengangkut 97,4 juta ton kargo, sebagian besarnya adalah bulk cargo.",Pelabuhan Amsterdam,kargo,"97,4 juta ton",CORRECT,QTY
Wikipedia,Amsterdam memiliki pelabuhan khusus cruise terbesar di Belanda dengan lebih dari 150 kapal cruise tiap tahunnya.,Amsterdam,jumlah kapal cruise,lebih dari 150,INCORRECT,CRD
Wikipedia,"Amsterdam adalah salah satu destinasi wisata paling populer di Eropa dengan 4,63 juta wisatawan mancanegara setiap tahunnya, ini belum termasuk 16 juta ""pengunjung sehari"" yang datang ke kota ini tiap tahunnya.",Amsterdam,pengunjung sehari,16 juta,CORRECT,MON
Wikipedia,Dua per tiga hotel terletak di pusat kota.,hotel,terletak,tiga hotel,INCORRECT,QTY
Wikipedia,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,Hotel,jumlah bintang,4,INCORRECT,CRD
Wikipedia,Hotel dengan 4 atau 5 bintang berkontribusi 42% dari jumlah total kamar dan 41% tinggal bermalam di Amsterdam.,Hotel,jumlah 4,5,INCORRECT,CRD
Wikipedia,"Merek fashion terkenal seperti G-star, Gsus, BlueBlood, PICHICHI, Iris van Herpen, MUD Jeans, 10 feet dan Warmenhoven & Venderbos, juga perancang busana seperti Mart Visser, Viktor & Rolf, Sheila de Vries, Marlies Dekkers dan Frans Molenaar tinggal di Amsterdam.",Merek fashion,G-star,10 feet,INCORRECT,QTY
Wikipedia,"Pada tahun 1932, Amsterdam ditunjuk sebagai penghubung utama untuk sistem jalan tol di Belanda, dengan jalan no 1-8 direncanakan berawal dari sini.",Amsterdam,jumlah no,1-8,INCORRECT,CRD
Wikipedia,"Biaya parkir sangat mahal, banyak jalan ditutup untuk mobil atau hanya satu arah.",Biaya parkir sangat mahal,jumlah arah,satu,INCORRECT,CRD
Wikipedia,Amsterdam dilayani oleh 10 stasiun Nederlandse Spoorwegen (Kereta api Belanda).,Amsterdam,jumlah stasiun Nederlandse Spoorwegen,10,CORRECT,CRD
Wikipedia,Bandara Schiphol Amsterdam dapat dicapai kurang dari 20 menit dengan kereta dari stasiun kereta Amsterdam Centraal.,Bandara Schiphol Amsterdam,dicapai,kurang dari 20 menit,INCORRECT,QTY
Wikipedia,"Lebih dari 50 juta penumpang per tahun menggunakannya dan menjadi penghubung utama bagi 5 maskapai yaitu KLM, transavia.com, Martinair, Arkefly dan easyJet.",penumpang per tahun,jumlah maskapai yaitu KLM,5,INCORRECT,CRD
Wikipedia,Namun pencurian sepeda juga marak - tahun 2011 ada 83.000 sepeda dicuri di Amsterdam.,pencurian sepeda juga marak,jumlah 83.000 sepeda,83,INCORRECT,CRD
Wikipedia,"Kelebaran dinding di bawahnya mencapai 4,09 m dan di puncak 2,48 m. Bobotnya diperkirakan mencapai 14.500 ton.",Bobotnya,mencapai,14.500 ton,INCORRECT,QTY
Wikipedia,Menara Pisa memiliki 294 anak tangga.,Menara Pisa,jumlah anak tangga,294,CORRECT,CRD
Wikipedia,Pembangunan Menara Pisa dilakukan dalam tiga tahap dalam jangka waktu 200 tahun.,Pembangunan Menara Pisa,jumlah tahap dalam jangka waktu,tiga,INCORRECT,CRD
Wikipedia,Pembangunan Menara Pisa dilakukan dalam tiga tahap dalam jangka waktu 200 tahun.,Pembangunan Menara Pisa,tahap dalam jangka waktu,200 tahun,INCORRECT,QTY
Wikipedia,"Sebenarnya, Menara Miring tersebut seharusnya berdiri tegak setinggi 55 meter, tetapi dikarenakan Menara Miring Pisa dibangun di atas tanah yang tidak stabil, Menara tersebut akhirnya miring dari garis lurus sepanjang 5 meter.",Menara Miring tersebut,tegak setinggi,55 meter,CORRECT,QTY
Wikipedia,"Sebenarnya, Menara Miring tersebut seharusnya berdiri tegak setinggi 55 meter, tetapi dikarenakan Menara Miring Pisa dibangun di atas tanah yang tidak stabil, Menara tersebut akhirnya miring dari garis lurus sepanjang 5 meter.",Menara Miring tersebut,Menara tersebut akhirnya miring dari garis lurus,5 meter,INCORRECT,QTY
Wikipedia,"Benua ini adalah benua terkecil kedua setelah Australia dengan luas 10.180.000 km² sedangkan bila dihitung dari populasinya, benua ini terletak di urutan ketiga dengan populasi terbanyak (di bawah Asia, dan Afrika) dengan 742,5 juta jiwa pada tahun 2013 atau sama dengan seperdelapan penduduk dunia.",Benua ini,Australia dengan luas,10.180.000 km²,INCORRECT,QTY
Wikipedia,"Penemuan terakhir di Monte Poggiolo, Italia, dari ribuan batuan buatan tangan yang ditanggal karbon sejauh 800.000 tahun lalu, memberikan sebuah bukti penting.",Penemuan,karbon sejauh,800.000 tahun,INCORRECT,QTY
Wikipedia,"Sejak berakhirnya Perang Dunia II hingga Perang Dingin, Eropa terbagi kepada dua blok politik, dan ekonomi utama: negara-negara komunis di Eropa Timur, dan negara-negara kapitalis di Eropa Barat.",Eropa,jumlah blok politik,dua,CORRECT,CRD
Wikipedia,"Eropa memiliki perkumpulan negara-negara Eropa yang dikenal sebagai Uni Eropa yang sekarang ini memiliki 27 negara anggota, dan masih terus berkembang.",Uni Eropa yang sekarang ini,jumlah negara anggota,27,CORRECT,CRD
Wikipedia,"Indonesia keluar kembali pada tanggal 30 November 2016, akibat kebijakan OPEC untuk menurunkan produksi minyak Indonesia sebanyak 37.000 barel perhari, untuk menghentikan penurunan harga minyak.",Indonesia,produksi minyak Indonesia,37.000 barel perhari,CORRECT,QTY
Wikipedia,"Di awal kemerdekaan Indonesia, pulau ini termasuk dalam Provinsi Sunda Kecil yang beribu kota di Singaraja, dan kini terbagi menjadi 3 provinsi: Bali, Nusa Tenggara Barat, dan Nusa Tenggara Timur.",pulau ini,jumlah provinsi,3,CORRECT,CRD
Wikipedia,"Pulau Bali adalah bagian dari Kepulauan Sunda Kecil sepanjang 153 km dan selebar 112 km sekitar 3,2 km dari Pulau Jawa.",Pulau Bali,bagian dari Kepulauan Sunda Kecil sepanjang,153 km,INCORRECT,QTY
Wikipedia,"Pulau Bali adalah bagian dari Kepulauan Sunda Kecil sepanjang 153 km dan selebar 112 km sekitar 3,2 km dari Pulau Jawa.",Pulau Bali,selebar,"112 km sekitar 3,2 km",INCORRECT,QTY
Wikipedia,Gunung Agung adalah titik tertinggi di Bali setinggi 3.148 m. Gunung berapi ini terakhir meletus pada Maret 1963.,Gunung Agung,jumlah titik tertinggi di Bali setinggi 3.148 m. Gunung,3.148,INCORRECT,CRD
Wikipedia,"Sekitar 30.000 tahun yang lalu, Gunung Batur meletus dan menghasilkan bencana yang dahsyat di bumi.",Gunung Batur,meletus,Sekitar 30.000 tahun,INCORRECT,QTY
Wikipedia,Adanya pegunungan tersebut menyebabkan Daerah Bali secara Geografis terbagi menjadi 2 (dua) bagian yang tidak sama yaitu Bali Utara dengan dataran rendah yang sempit dan kurang landai dan Bali Selatan dengan dataran rendah yang luas dan landai.,Adanya pegunungan tersebut,jumlah bagian yang tidak sama yaitu Bali Utara dengan dataran rendah yang sempit dan kurang landai dan Bali Selatan dengan dataran rendah yang luas dan landai,2,INCORRECT,CRD
Wikipedia,Adanya pegunungan tersebut menyebabkan Daerah Bali secara Geografis terbagi menjadi 2 (dua) bagian yang tidak sama yaitu Bali Utara dengan dataran rendah yang sempit dan kurang landai dan Bali Selatan dengan dataran rendah yang luas dan landai.,Adanya pegunungan tersebut,jumlah 2,dua,INCORRECT,CRD
Wikipedia,"Kemiringan lahan Pulau Bali terdiri dari lahan datar (0-2%) seluas 122.652 ha, lahan bergelombang (2-15%) seluas 118.339 ha, lahan curam (15-40%) seluas 190.486 ha dan lahan sangat curam (>40%) seluas 132.189 ha.",Kemiringan lahan Pulau Bali,seluas,122.652 ha,INCORRECT,QTY
