sentence_num,token,tag
5,Kapal,B-PRD
5,MV,I-PRD
5,CMA,I-PRD
5,CGM,I-PRD
5,Tage,I-PRD
5,.,O
6,Kapal,O
6,ini,O
6,merupakan,O
6,besar,O
6,berkapasitas,O
6,10,B-QTY
6,ribu,I-QTY
6,TEUs,I-QTY
6,dan,O
6,berbobot,O
6,95.263,B-QTY
6,GT,I-QTY
6,(,O
6,Gross,B-QTY
6,Tonnage,I-QTY
6,),O
6,.,O
7,Kapal,B-PRD
7,ini,O
7,memiliki,O
7,layanan,O
7,Java,B-PRD
7,-,O
7,America,I-PRD
7,Express,I-PRD
7,(,O
7,JAX,B-PRD
7,),O
7,yang,O
7,rutin,O
7,melayani,O
7,rute,O
7,Pelabuhan,B-FAC
7,Tanjung,I-FAC
7,Priok,I-FAC
7,ke,O
7,West,B-LOC
7,Coast,I-LOC
7,(,O
7,LA,B-GPE
7,dan,O
7,Oakland,B-GPE
7,),O
7,Amerika,B-GPE
7,Serikat,I-GPE
7,(,O
7,direct,O
7,call,O
7,),O
7,.,O
8,Tadi,O
8,sudah,O
8,disampaikan,O
8,oleh,O
8,Dirut,O
8,Pelindo,B-ORD
8,bahwa,O
8,setiap,O
8,menghemat,O
8,biaya,O
8,kurang,B-MON
8,lebih,I-MON
8,USD,I-MON
8,300,I-MON
8,dan,O
8,ini,O
8,akan,O
8,memberikan,O
8,daya,O
8,saing,O
8,produk,O
8,-,O
8,produk,O
8,kita,O
8,terhadap,O
8,produk,O
8,-,O
8,produk,O
8,dari,O
8,negara,O
8,lain,O
8,",",O
8,"""",O
8,lanjutnya,O
8,.,O
9,Presiden,B-PER
9,juga,O
9,menyampaikan,O
9,bahwa,O
9,ekspor,O
9,ke,O
9,Amerika,B-GPE
9,Serikat,I-GPE
9,ini,O
9,menandakan,O
9,bahwa,O
9,Indonesia,B-GPE
9,memiliki,O
9,peran,O
9,yang,O
9,sangat,O
9,strategis,O
9,dalam,O
9,geo,O
9,ekonomi,O
9,di,O
9,Indo,B-LOC
9,Pasifik,I-LOC
9,.,O
10,Indonesia,B-GPE
10,berusaha,O
10,menjadikan,O
10,kawasan,B-LOC
10,Indo,I-LOC
10,Pasifik,I-LOC
10,sebagai,O
10,salah,O
10,satu,O
10,sumber,O
10,utama,O
10,pertumbuhan,O
10,ekonomi,O
10,",",O
10,pusat,O
10,perdagangan,O
10,",",O
10,dan,O
10,industri,O
10,dunia,O
10,.,O
11,Turut,O
11,hadir,O
11,mendampingi,O
11,Presiden,B-PER
11,dalam,O
11,pelepasan,O
11,ekspor,O
11,ini,O
11,adalah,O
11,Menteri,B-NOR
11,Perhubungan,I-NOR
11,Budi,B-PER
11,Karya,I-PER
11,Sumadi,I-PER
11,",",O
11,Menteri,B-NOR
11,Perindustrian,I-NOR
11,Airlangga,B-PER
11,Hartarto,I-PER
11,",",O
11,Menteri,B-NOR
11,Perdagangan,I-NOR
11,Enggartiasto,B-PER
11,Lukita,I-PER
11,",",O
11,Menteri,B-NOR
11,BUMN,I-NOR
11,Rini,B-PER
11,Soemarno,I-PER
11,dan,O
11,Direktur,O
11,Utama,O
11,IPC,B-ORG
11,Elvyn,B-PER
11,G,I-PER
11,.,I-PER
11,Masassya,I-PER
11,.,O
12,Polri,B-NOR
12,Awasi,O
12,Peredaran,O
12,Bahan,B-PRD
12,Bom,I-PRD
12,',O
12,The,B-PRD
12,Mother,I-PRD
12,of,I-PRD
12,Satan,I-PRD
12,',O
13,Martahan,B-PER
13,Sohuturon,I-PER
13,",",O
13,CNN,B-ORG
13,Indonesia,I-ORG
13,|,O
13,Rabu,B-DAT
13,",",I-DAT
13,16,I-DAT
13,/,I-DAT
13,05,I-DAT
13,/,I-DAT
13,2018,I-DAT
13,08,B-TIM
13,:,I-TIM
13,20,I-TIM
13,WIB,I-TIM
14,Polri,B-NOR
14,Awasi,O
14,Peredaran,O
14,Bahan,O
14,',O
14,The,B-PRD
14,Mother,I-PRD
14,of,I-PRD
14,Satan,I-PRD
14,',O
14,Polri,B-NOR
14,menyatakan,O
14,pengawasan,O
14,peredaran,O
14,bahan,B-PRD
14,bom,I-PRD
14,jenis,O
14,acetone,B-PRD
14,peroxide,I-PRD
14,yang,O
14,kerap,O
14,digunakan,O
14,ISIS,B-NOR
14,serta,O
14,pengikutnya,O
14,dilakukan,O
14,oleh,O
14,Baintelkam,B-ORG
14,.,O
15,(,O
15,Divisi,B-ORG
15,Humas,I-ORG
15,Polri,I-ORG
15,),O
16,Jakarta,B-GPE
16,",",O
16,CNN,B-ORG
16,Indonesia,I-ORG
16,--,O
16,Kepolisian,B-NOR
16,Negara,I-NOR
16,Republik,I-NOR
16,Indonesia,I-NOR
16,(,O
16,Polri,B-NOR
16,),O
16,menyatakan,O
16,mulai,O
16,mengawasi,O
16,peredaran,O
16,berbagai,O
16,komponen,O
16,bahan,O
16,peledak,O
16,triacetone,B-PRD
16,triperoxide,I-PRD
16,(,O
16,TATP,B-PRD
16,),O
16,.,O
17,Zat,O
17,itu,O
17,kerap,O
17,digunakan,O
17,buat,O
17,meracik,O
17,bom,O
17,berdaya,O
17,ledak,O
17,tinggi,O
17,",",O
17,seperti,O
17,yang,O
17,dipakai,O
17,di,O
17,dalam,O
17,serangan,O
17,teroris,O
17,di,O
17,Surabaya,B-GPE
17,pada,O
17,13,B-DAT
17,Mei,I-DAT
17,dan,O
17,Senin,B-DAT
17,lalu,O
17,.,O
18,Kepala,O
18,Divisi,B-ORG
18,Hubungan,I-ORG
18,Masyarakat,I-ORG
18,(,O
18,Kadiv,B-ORG
18,Humas,I-ORG
18,),O
18,Polri,B-NOR
18,",",O
18,Inspektur,O
18,Jenderal,O
18,Setyo,B-PER
18,Wasisto,I-PER
18,",",O
18,mengatakan,O
18,pengawasan,O
18,terhadap,O
18,hal,O
18,ini,O
18,dilakukan,O
18,Polri,B-NOR
18,lewat,O
18,aturan,O
18,yang,O
18,telah,O
18,dikeluarkan,O
18,oleh,O
18,Badan,B-ORG
18,Intelijen,I-ORG
18,Keamanan,I-ORG
18,(,O
18,Baintelkam,B-ORG
18,),O
18,.,O
19,"""",O
19,Ada,O
19,sudah,O
19,(,O
19,aturan,O
19,),O
19,di,O
19,Baintelkam,B-ORG
19,di,O
19,bagian,O
19,pengawasan,O
19,senjata,O
19,api,O
19,dan,O
19,bahan,B-PRD
19,peledak,I-PRD
19,",",O
19,"""",O
19,kata,O
19,Setyo,B-PER
19,saat,O
19,memberikan,O
19,keterangan,O
19,pers,O
19,di,O
19,Markas,B-LOC
19,Besar,I-LOC
19,Polri,I-LOC
19,",",O
19,Jakarta,B-GPE
19,Selatan,I-GPE
19,pada,O
19,Selasa,B-DAT
19,(,I-DAT
19,15,I-DAT
19,/,I-DAT
19,5,I-DAT
19,),I-DAT
19,.,O
20,Menurut,O
20,Setyo,B-PER
20,",",O
20,sistem,O
20,pengawasan,O
20,sudah,O
20,berjalan,O
20,selama,O
20,ini,O
20,dengan,O
20,mewajibkan,O
20,pembeli,O
20,zat,O
20,kimia,O
20,tertentu,O
20,untuk,O
20,meninggalkan,O
20,identitas,O
20,.,O
21,Setyo,B-PER
21,mengatakan,O
21,",",O
21,Polri,B-NOR
21,mengawasi,O
21,pembeli,O
21,sejumlah,O
21,zat,O
21,kimia,O
21,tertentu,O
21,dalam,O
21,skala,O
21,besar,O
21,yang,O
21,harus,O
21,meninggalkan,O
21,identitas,O
21,.,O
22,Jadi,O
22,seperti,O
22,beli,O
22,aseton,B-PRD
22,dalam,O
22,skala,O
22,besar,O
22,",",O
22,dia,O
22,harus,O
22,meninggalkan,O
22,identitas,O
22,",",O
22,"""",O
22,katanya,O
22,.,O
23,Polri,B-NOR
23,Mulai,O
23,Awasi,O
23,Peredaran,O
23,Bahan,O
23,Bom,O
23,TATP,B-PRD
23,(,O
23,Foto,O
23,:,O
23,Divisi,B-ORG
23,Humas,I-ORG
23,Polri,I-ORG
23,),O
24,Bom,O
24,dari,O
24,bahan,O
24,acetone,B-PRD
24,peroxide,I-PRD
24,dikenal,O
24,dengan,O
24,sebutan,O
24,',O
24,the,B-PRD
24,mother,I-PRD
24,of,I-PRD
24,satan,I-PRD
24,',O
24,.,O
25,Bahan,O
25,itu,O
25,kerap,O
25,dipakai,O
25,oleh,O
25,kelompok,O
25,militan,O
25,Negara,B-NOR
25,Islam,I-NOR
25,Irak,I-NOR
25,dan,I-NOR
25,Suriah,I-NOR
25,(,O
25,ISIS,B-NOR
25,),O
25,.,O
26,Bom,O
26,jenis,O
26,itu,O
26,mudah,O
26,dibuat,O
26,karena,O
26,hanya,O
26,membutuhkan,O
26,beberapa,O
26,komponen,O
26,yang,O
26,mudah,O
26,ditemukan,O
26,di,O
26,toko,O
26,kimia,O
26,",",O
26,seperti,O
26,cairan,B-PRD
26,pembersih,I-PRD
26,kuku,I-PRD
26,",",O
26,dan,O
26,tidak,O
26,membutuhkan,O
26,pemicu,O
26,khusus,O
26,.,O
27,Sejumlah,O
27,perakit,O
27,bom,O
27,jenis,O
27,itu,O
27,juga,O
27,banyak,O
27,meregang,O
27,nyawa,O
27,",",O
27,termasuk,O
27,terduga,O
27,teroris,O
27,Anton,B-PER
27,Ferdiantono,I-PER
27,beserta,O
27,istri,O
27,dan,O
27,anak,O
27,sulungnya,O
27,yang,O
27,meninggal,O
27,dalam,O
27,ledakan,O
27,di,O
27,Rusun,B-LOC
27,Wonocolo,I-LOC
27,.,O
28,Kapolri,O
28,Jenderal,B-PER
28,Tito,I-PER
28,Karnavian,I-PER
28,mengungkapkan,O
28,kelompok,O
28,Jamaah,B-NOR
28,Anshorut,I-NOR
28,Daulah,I-NOR
28,(,O
28,JAD,B-NOR
28,),O
28,Surabaya,B-GPE
28,yang,O
28,menggelar,O
28,empat,B-CRD
28,serangan,O
28,berbeda,O
28,juga,O
28,membuat,O
28,bom,B-PRD
28,pipa,I-PRD
28,dengan,O
28,bahan,O
28,peledak,O
28,TATP,B-PRD
28,.,O
29,Tito,B-PER
29,menjelaskan,O
29,bahan,O
29,TATP,B-PRD
29,sangat,O
29,berbahaya,O
29,.,O
30,"""",O
30,TATP,B-PRD
30,dikenal,O
30,dengan,O
30,sebutan,O
30,',O
30,the,B-PRD
30,mother,I-PRD
30,of,I-PRD
30,satan,I-PRD
30,',O
30,",",O
30,ibu,B-PRD
30,dari,I-PRD
30,para,I-PRD
30,setan,I-PRD
30,",",O
30,"""",O
30,tambah,O
30,Tito,B-PER
30,.,O
31,Asabri,B-ORG
31,Beri,O
31,Santunan,O
31,Polisi,O
31,Meninggal,O
31,Korban,O
31,Teroris,O
31,Rp,B-MON
31,3,I-MON
31,M,I-MON
32,Dinda,B-PER
32,Audriene,I-PER
32,Muthmainah,I-PER
32,",",O
32,CNN,B-ORG
32,Indonesia,I-ORG
32,|,O
32,Kamis,B-DAT
32,",",O
32,17,I-DAT
32,/,O
32,05,I-DAT
32,/,O
32,2018,I-DAT
32,07,B-TIM
32,:,I-TIM
32,19,I-TIM
32,WIB,I-TIM
33,Asabri,B-ORG
33,Beri,O
33,Santunan,O
33,Polisi,O
33,Meninggal,O
33,Korban,O
33,Teroris,O
33,Rp,B-MON
33,3,I-MON
33,M,I-MON
33,Keluarga,O
33,dari,O
33,enam,B-CRD
33,polisi,O
33,yang,O
33,meninggal,O
33,dalam,O
33,serangan,O
33,teroris,O
33,di,O
33,Mako,B-LOC
33,Brimob,I-LOC
33,dan,O
33,satu,B-CRD
33,polisi,O
33,dalam,O
33,serangan,O
33,di,O
33,Mapolda,B-LOC
33,Riau,I-LOC
33,mendapatkan,O
33,santunan,O
33,dari,O
33,Asabri,B-ORG
33,sebesar,O
33,Rp,B-MON
33,3,I-MON
33,miliar,I-MON
33,.,O
34,(,O
34,CNN,B-ORG
34,Indonesia,I-ORG
34,/,O
34,Andry,B-PER
34,Novelino,I-PER
34,),O
35,Jakarta,B-GPE
35,",",O
35,CNN,B-ORG
35,Indonesia,I-ORG
35,--,O
35,PT,B-ORG
35,Asuransi,I-ORG
35,Sosial,I-ORG
35,Angkatan,I-ORG
35,Bersenjata,I-ORG
35,Republik,I-ORG
35,Indonesia,I-ORG
35,(,O
35,Persero,I-ORG
35,),O
35,atau,O
35,Asabri,B-ORG
35,mengklaim,O
35,telah,O
35,menyantuni,O
35,keluarga,O
35,dari,O
35,tujuh,B-CRD
35,polisi,O
35,yang,O
35,meninggal,O
35,akibat,O
35,serangan,O
35,teroris,O
35,di,O
35,Rutan,B-LOC
35,Mako,I-LOC
35,Brimob,I-LOC
35,dan,O
35,Mapolda,B-LOC
35,Riau,I-LOC
35,sebesar,O
35,Rp,B-MON
35,3,I-MON
35,",",I-MON
35,01,I-MON
35,miliar,I-MON
35,.,O
36,Direktur,O
36,Keuangan,O
36,Asabri,B-ORG
36,Heri,B-PER
36,Setianto,I-PER
36,mengatakan,O
36,santunan,O
36,tersebut,O
36,diberikan,O
36,kepada,O
36,keluarga,O
36,dari,O
36,enam,B-CRD
36,polisi,O
36,yang,O
36,gugur,O
36,saat,O
36,penyerangan,O
36,di,O
36,Rutan,B-LOC
36,Mako,I-LOC
36,Brimob,I-LOC
36,dan,O
36,satu,B-CRD
36,polisi,O
36,di,O
36,Mapolda,B-LOC
36,Riau,I-LOC
36,.,O
37,"""",O
37,Yang,O
37,gugur,O
37,dalam,O
37,tugas,O
37,meninggal,O
37,itu,O
37,santunannya,O
37,Rp,B-MON
37,400,I-MON
37,juta,I-MON
37,",",O
37,kemudian,O
37,beasiswa,O
37,untuk,O
37,anak,O
37,sebesar,O
37,Rp,B-MON
37,30,I-MON
37,juta,I-MON
37,.,O
38,Jadi,O
38,total,O
38,per,O
38,korban,O
38,meninggal,O
38,Rp,B-MON
38,430,I-MON
38,juta,I-MON
38,",",O
38,"""",O
38,ucap,O
38,Heri,B-PER
38,kepada,O
38,CNNIndonesia,B-ORG
38,",",O
38,Rabu,B-DAT
38,(,O
38,16,I-DAT
38,/,O
38,5,I-DAT
38,),O
38,.,O
39,Penyerangan,O
39,teroris,O
39,di,O
39,Rutan,B-LOC
39,Mako,I-LOC
39,Brimob,I-LOC
39,terjadi,O
39,pada,O
39,Selasa,B-DAT
39,(,O
39,8,I-DAT
39,/,O
39,5,I-DAT
39,),O
39,hingga,O
39,Kamis,B-DAT
39,(,I-DAT
39,10,I-DAT
39,/,I-DAT
39,5,I-DAT
39,),I-DAT
39,.,O
40,Sementara,O
40,itu,O
40,",",O
40,pada,O
40,hari,O
40,ini,O
40,terjadi,O
40,penyerangan,O
40,oleh,O
40,kelompok,O
40,yang,O
40,diduga,O
40,kelompok,O
40,teror,O
40,di,O
40,Mapolda,B-LOC
40,Riau,I-LOC
40,.,O
41,Ini,O
41,dikasihnya,O
41,belakangan,O
41,karena,O
41,harus,O
41,dihitung,O
41,dulu,O
41,",",O
41,"""",O
41,sambung,O
41,Heri,B-PER
41,.,O
42,Menurutnya,O
42,",",O
42,ASABRI,B-ORG
42,memberikan,O
42,kemudahan,O
42,pemberian,O
42,santunan,O
42,kepada,O
42,korban,O
42,yang,O
42,meninggal,O
42,akibat,O
42,serangan,O
42,teroris,O
42,.,O
43,Padahal,O
43,",",O
43,bila,O
43,mengacu,O
43,pada,O
43,aturan,O
43,yang,O
43,berlaku,O
43,perlu,O
43,ada,O
43,surat,B-LAW
43,keputusan,I-LAW
43,Kapolri,I-LAW
43,terlebih,O
43,dahulu,O
43,untuk,O
43,memberikan,O
43,santunan,O
43,.,O
44,Ini,O
44,sudah,O
44,diberikan,O
44,semua,O
44,",",O
44,"""",O
44,jelas,O
44,Heri,B-PER
44,.,O
45,Selain,O
45,itu,O
45,",",O
45,Asabri,B-ORG
45,terus,O
45,memantau,O
45,kondisi,O
45,polisi,O
45,yang,O
45,mengalami,O
45,korban,O
45,luka,O
45,-,O
45,luka,O
45,atas,O
45,bom,O
45,di,O
45,Surabaya,B-GPE
45,.,O
46,Dalam,O
46,pemberitaan,O
46,sebelumnya,O
46,",",O
46,empat,B-CRD
46,polisi,O
46,luka,O
46,akibat,O
46,bom,O
46,di,O
46,Polrestabes,B-LOC
46,Surabaya,I-LOC
46,dan,O
46,dua,B-CRD
46,polisi,O
46,juga,O
46,menjadi,O
46,korban,O
46,luka,O
46,karena,O
46,bom,O
46,di,O
46,tiga,B-CRD
46,gereja,O
46,.,O
47,"""",O
47,Yang,O
47,di,O
47,Surabaya,B-GPE
47,hanya,O
47,luka,O
47,-,O
47,luka,O
47,",",O
47,ada,O
47,beberapa,O
47,anggota,O
47,dalam,O
47,perawatan,O
47,.,O
48,Untuk,O
48,biaya,O
48,perawatan,O
48,berbeda,O
48,-,O
48,beda,O
48,tergantung,O
48,kondisinya,O
48,tapi,O
48,kami,O
48,tanggung,O
48,sampai,O
48,sembuh,O
48,",",O
48,"""",O
48,pungkas,O
48,Heri,B-PER
48,.,O
49,3,B-CRD
49,Juta,I-CRD
49,Data,O
49,Pengguna,O
49,Facebook,B-PRD
49,Kembali,O
49,Bocor,O
50,Bintoro,B-PER
50,Agung,I-PER
50,",",O
50,CNN,B-ORG
50,Indonesia,I-ORG
50,|,O
50,Kamis,B-DAT
50,",",I-DAT
50,17,I-DAT
50,/,I-DAT
50,05,I-DAT
50,/,I-DAT
50,2018,I-DAT
50,07,B-TIM
50,:,I-TIM
50,05,I-TIM
50,WIB,I-TIM
51,3,B-CRD
51,Juta,I-CRD
51,Data,O
51,Pengguna,O
51,Facebook,B-PRD
51,Kembali,O
51,Bocor,O
52,3,B-CRD
52,Juta,I-CRD
52,data,O
52,pengguna,O
52,Facebook,B-PRD
52,kembali,O
52,dibobol,O
52,.,O
53,(,O
53,Foto,O
53,:,O
53,REUTERS,B-ORG
53,/,O
53,Dado,B-PER
53,Ruvic,I-PER
53,),O
54,Jakarta,B-GPE
54,",",O
54,CNN,B-ORG
54,Indonesia,I-ORG
54,--,O
54,Data,O
54,pengguna,O
54,Facebook,B-PRD
54,kembali,O
54,bocor,O
54,.,O
55,Laporan,O
55,investigasi,O
55,dari,O
55,New,B-ORG
55,Scientist,I-ORG
55,menemukan,O
55,data,O
55,dari,O
55,sekitar,B-CRD
55,tiga,I-CRD
55,juta,I-CRD
55,pengguna,O
55,terekspos,O
55,berkat,O
55,aplikasi,O
55,tes,O
55,kepribadian,O
55,bernama,O
55,myPersonality,B-PRD
55,.,O
56,Ada,O
56,enam,B-CRD
56,juta,I-CRD
56,lebih,O
56,pengguna,O
56,Facebook,B-PRD
56,yang,O
56,disebut,O
56,dalam,O
56,laporan,O
56,itu,O
56,menyelesaikan,O
56,tes,O
56,kepribadian,O
56,myPersonality,B-PRD
56,tersebut,O
56,.,O
57,Data,O
57,itu,O
57,sejatinya,O
57,dipakai,O
57,oleh,O
57,para,O
57,akademisi,O
57,di,O
57,University,B-ORG
57,of,I-ORG
57,Cambridge,I-ORG
57,pada,O
57,2014,B-DAT
57,.,O
58,"""",O
58,Jenis,O
58,data,O
58,ini,O
58,sangat,O
58,kuat,O
58,dan,O
58,ada,O
58,potensi,O
58,nyata,O
58,untuk,O
58,disalahgunakan,O
58,",",O
58,"""",O
58,kata,O
58,Chris,B-PER
58,Summer,I-PER
58,dari,O
58,Online,B-ORG
58,Privacy,I-ORG
58,Foundation,I-ORG
58,.,O
59,Sekumpulan,O
59,data,O
59,yang,O
59,dipanen,O
59,dari,O
59,kuis,O
59,myPersonality,B-PRD
59,ini,O
59,dikelola,O
59,oleh,O
59,David,B-PER
59,Stillwell,I-PER
59,dan,O
59,Michael,B-PER
59,Kosinski,I-PER
59,dari,O
59,Psikometrik,B-ORG
59,University,I-ORG
59,of,I-ORG
59,Cambridge,I-ORG
59,.,O
60,Alexander,B-PER
60,Kogan,I-PER
60,",",O
60,yang,O
60,menjadi,O
60,dalang,O
60,pengumpulan,O
60,data,O
60,yang,O
60,berujung,O
60,kebocoran,O
60,ke,O
60,tangan,O
60,Cambridge,B-ORG
60,Analytica,I-ORG
60,",",O
60,juga,O
60,terdaftar,O
60,sebagai,O
60,kolaborator,O
60,di,O
60,proyek,O
60,ini,O
60,.,O
61,Kolaborator,O
61,berarti,O
61,Kogan,B-PER
61,memiliki,O
61,akses,O
61,penuh,O
61,ke,O
61,data,O
61,yang,O
61,dikumpulkan,O
61,dari,O
61,proyek,O
61,myPersonality,B-PRD
61,.,O
62,Tak,O
62,hanya,O
62,Kogan,B-PER
62,dan,O
62,kolega,O
62,kampusnya,O
62,",",O
62,peneliti,O
62,dari,O
62,berbagai,O
62,universitas,O
62,lain,O
62,dan,O
62,sejumlah,O
62,perusahaan,O
62,melakukan,O
62,hal,O
62,serupa,O
62,.,O
63,Lebih,B-CRD
63,dari,I-CRD
63,280,I-CRD
63,orang,O
63,dari,O
63,hampir,B-CRD
63,150,I-CRD
63,institusi,O
63,termasuk,O
63,Facebook,B-ORG
63,",",O
63,Google,B-ORG
63,",",O
63,Microsoft,B-ORG
63,",",O
63,dan,O
63,Yahoo,B-ORG
63,",",O
63,diduga,O
63,mengakses,O
63,data,O
63,tersebut,O
63,.,O
64,New,B-ORG
64,Scientist,I-ORG
64,menyebutkan,O
64,ada,O
64,nama,O
64,pengguna,O
64,dan,O
64,kata,O
64,sandi,O
64,yang,O
64,beredar,O
64,secara,O
64,online,O
64,di,O
64,situs,O
64,GitHub,B-PRD
64,dan,O
64,bisa,O
64,dimanfaatkan,O
64,secara,O
64,bebas,O
64,dalam,O
64,empat,B-CRD
64,tahun,O
64,terakhir,O
64,ini,O
64,.,O
65,Aplikasi,O
65,kuis,O
65,myPersonality,B-PRD
65,sejatinya,O
65,sudah,O
65,dibekukan,O
65,oleh,O
65,Facebook,B-ORG
65,pada,O
65,7,B-DAT
65,April,I-DAT
65,kemarin,O
65,.,O
66,Aplikasi,O
66,itu,O
66,dinilai,O
66,melanggar,O
66,kebijakan,O
66,Facebook,B-ORG
66,terkait,O
66,ketentuan,O
66,berbagi,O
66,data,O
66,.,O
67,Temuan,O
67,ini,O
67,menambah,O
67,pekerjaan,O
67,rumah,O
67,Facebook,B-ORG
67,yang,O
67,sedang,O
67,berusaha,O
67,memulihkan,O
67,kepercayaan,O
67,publik,O
67,setelah,O
67,kasus,O
67,Cambridge,B-PRD
67,Analytica,I-PRD
67,yang,O
67,menyebabkan,O
67,data,O
67,dari,O
67,87,B-CRD
67,juta,I-CRD
67,pengguna,O
67,Facebook,B-PRD
67,bocor,O
67,dan,O
67,berpotensi,O
67,disalahgunakan,O
67,.,O
68,SMI,B-ORG
68,Bakal,O
68,Rilis,O
68,Green,B-PRD
68,Bond,I-PRD
68,Rp,B-MON
68,1,I-MON
68,Triliun,I-MON
69,Safyra,B-PER
69,Primadhyta,I-PER
69,",",O
69,CNN,B-ORG
69,Indonesia,I-ORG
69,|,O
69,Jumat,B-DAT
69,",",I-DAT
69,18,I-DAT
69,/,I-DAT
69,05,I-DAT
69,/,I-DAT
69,2018,I-DAT
69,09,B-TIM
69,:,I-TIM
69,19,I-TIM
69,WIB,I-TIM
70,SMI,B-ORG
70,Bakal,O
70,Rilis,O
70,Green,B-PRD
70,Bond,I-PRD
70,Rp,B-MON
70,1,I-MON
70,Triliun,I-MON
70,PT,B-ORG
70,Sarana,I-ORG
70,Multi,I-ORG
70,Infrastruktur,I-ORG
70,(,I-ORG
70,Persero,I-ORG
70,),I-ORG
70,bakal,O
70,menerbitkan,O
70,obligasi,B-PRD
70,berbasis,I-PRD
70,lingkungan,I-PRD
70,atau,O
70,green,B-PRD
70,bond,I-PRD
70,senilai,O
70,Rp,B-MON
70,1,I-MON
70,triliun,I-MON
70,pada,O
70,tengah,O
70,tahun,O
70,ini,O
70,.,O
71,(,O
71,www,B-PRD
71,.,I-PRD
71,ptsmi,I-PRD
71,.,I-PRD
71,co,I-PRD
71,.,I-PRD
71,id,I-PRD
71,),O
71,.,O
72,Jakarta,B-GPE
72,",",O
72,CNN,B-ORG
72,Indonesia,I-ORG
72,--,O
72,PT,B-ORG
72,Sarana,I-ORG
72,Multi,I-ORG
72,Infrastruktur,I-ORG
72,(,I-ORG
72,Persero,I-ORG
72,),I-ORG
72,bakal,O
72,menerbitkan,O
72,obligasi,B-PRD
72,berbasis,I-PRD
72,lingkungan,I-PRD
72,/,O
72,obligasi,B-PRD
72,hijau,I-PRD
72,(,O
72,green,B-PRD
72,bond,I-PRD
72,),O
72,senilai,O
72,Rp,B-MON
72,1,I-MON
72,triliun,I-MON
72,pada,O
72,medio,O
72,2018,B-DAT
72,.,O
73,Rencananya,O
73,",",O
73,penerbitan,O
73,obligasi,B-PRD
73,tersebut,O
73,merupakan,O
73,tahap,O
73,pertama,B-ORD
73,dari,O
73,Penawaran,B-PRD
73,Umum,I-PRD
73,Berkelanjutan,I-PRD
73,(,O
73,PUB,B-PRD
73,),O
73,perseroan,O
73,senilai,O
73,Rp,B-MON
73,3,I-MON
73,triliun,I-MON
73,yang,O
73,izin,O
73,efektifnya,O
73,masih,O
73,diproses,O
73,oleh,O
73,Otoritas,B-ORG
73,Jasa,I-ORG
73,Keuangan,I-ORG
73,(,O
73,OJK,B-ORG
73,),O
73,.,O
74,"""",O
74,Kami,O
74,baru,O
74,mendapatkan,O
74,izin,O
74,registrasi,O
74,pertama,O
74,dari,O
74,OJK,B-ORG
74,.,O
75,Rencananya,O
75,",",O
75,mudah,O
75,-,O
75,mudahan,O
75,",",O
75,registrasi,O
75,pertama,B-ORD
75,sampai,O
75,ketiga,B-ORD
75,efektif,O
75,itu,O
75,bisa,O
75,terjadi,O
75,sebelum,O
75,akhir,O
75,Juni,B-DAT
75,2018,I-DAT
75,",",O
75,"""",O
75,ujar,O
75,Direktur,B-ORG
75,Utama,I-ORG
75,PT,I-ORG
75,SMI,I-ORG
75,Emma,B-PER
